Date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,TEMP_MOY,HUMIDITY_MAX_PERCENT,HUMIDITY_EST_AVG,WINDSPEED_MAX_KMH,WINDSPEED_AVG_KMH,PRECIP_TOTAL_DAY_MM,SUNHOUR,SR_EST_W_m2,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,Toluène,Benzène,CO,NO2,SO2,O3,PM2.5,PM10,AQI,City
2024-07-30,30,18,23.5,68,51.0,8,4.8,0.0,15,2250,1019,7.875,1.4933065,0.4675669583333333,208.625,22.52916666666667,2.9166666666666665,87.95833333333333,19.329166666666666,26.829166666666666,42.024968666666666,London
2024-07-31,26,18,21.75,71,53.25,15,9.0,0.0,15,2250,1017,14.25,1.3075849166666669,0.4162405833333333,171.41666666666666,15.595833333333331,1.9166666666666667,92.0,13.25,20.175,40.83992958333334,London
2024-08-01,28,18,22.25,72,54.0,10,6.0,1.5,12,1800,1014,44.75,1.5226611666666667,0.5520548888888889,181.95833333333331,24.004166666666663,2.191666666666667,77.29166666666667,11.5625,16.154166666666665,32.728125291666665,London
2024-08-02,27,18,22.25,90,67.5,16,9.6,0.0,15,2250,1012,45.25,2.075187333333333,0.5814369166666667,210.33333333333331,26.275,2.3875,60.708333333333336,18.366666666666667,22.141666666666666,35.771596708333334,London
2024-08-03,25,17,20.25,82,61.5,18,10.8,0.3,7,1050,1014,60.5,1.057176625,0.3466866086956521,155.16666666666666,10.595833333333331,1.0625,54.0,6.358333333333333,10.7625,26.57083245833333,London
2024-08-04,21,15,17.5,63,47.25,9,5.4,0.0,15,2250,1016,30.125,1.2247097916666665,0.389934652173913,144.95833333333334,12.2625,1.5916666666666668,50.5,8.441666666666666,14.591666666666669,20.482638666666663,London
2024-08-05,26,14,20.0,78,58.5,18,10.8,0.0,15,2250,1015,4.125,1.5487731666666666,0.3756284166666666,140.54166666666666,11.895833333333334,1.675,60.75,9.204166666666667,14.341666666666669,24.30000008333333,London
2024-08-06,23,16,19.5,80,60.0,17,10.2,1.1,8,1200,1011,43.375,1.835386083333333,0.4684613478260869,147.5,15.333333333333334,1.425,47.583333333333336,6.904166666666666,10.520833333333334,19.52326420833333,London
2024-08-07,22,14,18.0,76,57.0,19,11.4,0.0,11,1650,1015,30.875,1.8175660869565216,0.485672652173913,149.5,13.6625,1.4291666666666665,50.583333333333336,7.808333333333334,14.358333333333334,20.352430625,London
2024-08-08,22,14,17.5,80,60.0,21,12.6,0.0,5,750,1016,61.25,1.9105834736842104,0.4223484,149.54166666666666,11.3875,1.2583333333333333,54.083333333333336,6.845833333333334,12.95,21.64791679166667,London
2024-08-09,24,18,20.75,78,58.5,19,11.4,0.0,13,1950,1018,49.625,1.6941787083333333,0.46511375,168.875,9.458333333333334,1.0166666666666668,62.54166666666666,5.658333333333334,9.533333333333331,25.016666375,London
2024-08-10,23,16,19.0,73,54.75,18,10.8,0.0,5,750,1020,54.25,1.9513335833333332,0.596566125,173.41666666666666,12.795833333333334,1.3458333333333332,49.41666666666666,6.4875,11.591666666666669,20.45833320833333,London
2024-08-11,26,17,21.5,83,62.25,17,10.2,0.0,14,2100,1021,22.25,1.4633969166666667,0.4133427391304347,178.83333333333334,15.766666666666666,1.5375,48.083333333333336,8.025,11.125,20.74444425,London
2024-08-12,33,19,25.25,82,61.5,17,10.2,0.0,15,2250,1015,8.625,2.0323594166666665,0.5607213333333334,182.625,17.325,2.0375,70.83333333333333,9.983333333333333,14.945833333333333,30.542708666666663,London
2024-08-13,27,17,21.25,66,49.5,17,10.2,0.0,13,1950,1011,13.375,2.323467958333333,0.5795802083333333,176.25,15.604166666666666,1.875,54.958333333333336,5.566666666666666,10.1375,23.691667,London
2024-08-14,23,18,20.25,77,57.75,11,6.6,0.0,1,150,1017,65.625,1.7105394,0.4287358,181.41666666666663,23.133333333333336,2.333333333333333,45.91666666666666,7.016666666666667,10.5,19.58749983333333,London
2024-08-15,23,15,19.25,64,48.0,24,14.4,0.0,9,1350,1016,48.25,1.5560976818181815,0.4621776363636364,164.41666666666666,14.420833333333334,1.55,47.25,7.575,11.9625,19.71354141666667,London
2024-08-16,26,17,21.25,90,67.5,9,5.4,0.8,13,1950,1015,37.5,1.6197865416666666,0.438152,173.20833333333334,16.604166666666668,1.825,53.25,6.925,10.904166666666669,21.740277833333334,London
2024-08-17,24,15,19.25,61,45.75,9,5.4,0.0,15,2250,1015,0.625,1.078062375,0.3417350869565217,172.95833333333334,12.8375,1.3833333333333335,60.25,7.208333333333333,11.308333333333332,24.2635415,London
2024-08-18,24,15,18.75,69,51.75,15,9.0,0.0,15,2250,1017,7.0,0.900212625,0.34927875,197.0,10.029166666666669,1.175,59.583333333333336,12.0125,18.55,24.138194291666665,London
2024-08-19,24,16,19.0,59,44.25,21,12.6,0.0,15,2250,1018,17.625,1.879736208333333,0.8201306666666667,282.25,16.841666666666665,2.1708333333333334,55.66666666666666,24.34583333333333,30.40833333333333,38.689579625,London
2024-08-20,21,15,18.5,91,68.25,25,15.0,0.4,9,1350,1013,63.25,1.1024698333333334,0.379884375,176.25,9.0125,1.0416666666666667,60.208333333333336,7.933333333333334,12.25,37.956941875,London
2024-08-21,22,12,16.75,69,51.75,21,12.6,0.0,12,1800,1018,33.125,1.55836675,0.5153903,165.25,10.175,1.325,50.29166666666666,7.274999999999999,13.2625,20.11666645833333,London
2024-08-22,19,15,17.0,82,61.5,26,15.6,0.1,4,600,1013,59.0,0.9795242500000002,0.3983959130434782,167.54166666666666,9.608333333333333,1.2041666666666666,59.833333333333336,7.837499999999999,15.308333333333332,23.93333275,London
2024-08-23,22,16,19.0,85,63.75,31,18.6,0.0,12,1800,1008,45.25,1.22519075,0.4846989166666666,176.29166666666666,9.470833333333331,1.1583333333333334,63.333333333333336,5.066666666666666,10.591666666666669,25.33333375,London
2024-08-24,19,13,15.75,92,69.0,12,7.199999999999999,4.1,3,450,1012,74.0,1.355216875,0.5276370833333334,197.875,19.175,1.5375,53.91666666666666,4.3875,8.083333333333334,21.62291679166667,London
2024-08-25,20,11,14.75,79,59.25,24,14.4,0.0,9,1350,1019,42.875,1.0701222083333335,0.3535324166666667,169.45833333333334,7.816666666666666,1.0416666666666667,55.458333333333336,5.854166666666667,10.770833333333334,22.183333291666667,London
2024-08-26,24,14,17.75,86,64.5,19,11.4,0.0,13,1950,1020,16.875,1.1517793333333337,0.4131026666666667,197.33333333333331,11.179166666666667,1.3625,64.54166666666667,10.258333333333333,17.45416666666667,25.816666916666662,London
2024-08-27,25,15,19.25,83,62.25,18,10.8,0.0,13,1950,1020,18.375,1.6464621666666666,0.4682234166666667,193.95833333333331,16.533333333333335,2.191666666666667,63.16666666666666,11.75,16.695833333333333,26.117013208333333,London
2024-08-28,27,17,21.5,66,49.5,16,9.6,0.1,12,1800,1017,39.75,2.5325719,0.7834978421052632,229.29166666666663,27.604166666666668,2.9791666666666665,57.458333333333336,13.504166666666668,18.6375,30.80242995833333,London
2024-08-29,23,15,18.5,81,60.75,13,7.8,0.0,13,1950,1020,9.125,1.5018800869565216,0.5354988695652174,216.79166666666663,15.691666666666668,2.1375,53.91666666666666,9.679166666666667,14.325,25.007639166666667,London
2024-08-30,23,15,18.0,64,48.0,11,6.6,0.0,10,1500,1024,32.25,1.0947488333333333,0.4584062083333333,227.41666666666663,17.683333333333334,2.154166666666667,54.208333333333336,10.216666666666669,14.3,25.595138541666667,London
2024-08-31,21,15,17.0,77,57.75,19,11.4,0.1,5,750,1024,74.25,0.5694034782608695,0.2833442173913044,200.04166666666663,9.133333333333333,1.0541666666666667,65.54166666666667,6.7250000000000005,12.708333333333334,26.21666654166667,London
2024-09-01,24,17,19.5,92,69.0,15,9.0,1.6,8,1200,1018,55.125,1.206820791666667,0.5150726666666666,231.58333333333331,17.3,2.65,69.58333333333333,15.670833333333334,22.2875,28.64548645833333,London
